filename,label,epsg,easting,northing
Forest_2230.jpg,Forest,32634,669530.2,6082004.8
Forest_1739.jpg,Forest,32633,658187.0,5345703.8
Forest_343.jpg,Forest,32633,614649.6,5305991.0
Forest_425.jpg,Forest,32634,527273.5,5425762.6
Forest_2556.jpg,Forest,32633,660786.3,5346353.9
Forest_2542.jpg,Forest,32634,478279.6,5650333.9
Forest_431.jpg,Forest,32634,339564.4,6035897.1
Forest_357.jpg,Forest,32632,615202.4,5943572.5
Forest_2224.jpg,Forest,32632,546387.2,5765976.7
Forest_1705.jpg,Forest,32634,402518.5,6014440.7
Forest_419.jpg,Forest,32630,607213.0,4765817.7
Forest_1063.jpg,Forest,32632,381545.4,5375215.8
Forest_1077.jpg,Forest,32631,495669.0,5069093.1
Forest_2218.jpg,Forest,32632,323925.7,5289422.3
Forest_1711.jpg,Forest,32632,526651.9,5467406.2
Forest_1922.jpg,Forest,32635,485396.4,5163000.3
Forest_380.jpg,Forest,32631,464517.7,5453511.9
Forest_2595.jpg,Forest,32632,547566.1,5569708.3
Forest_1088.jpg,Forest,32630,778423.3,5275033.8
Forest_2581.jpg,Forest,32634,504323.6,4415305.7
Forest_1936.jpg,Forest,32633,592454.1,5353354.4
Forest_394.jpg,Forest,32635,558496.8,4751632.5
Forest_2754.jpg,Forest,32634,616793.6,5517988.8
Forest_627.jpg,Forest,32632,629104.5,5793149.7
Forest_141.jpg,Forest,32632,617903.9,5931294.6
Forest_2032.jpg,Forest,32634,614747.2,5505032.8
Forest_2026.jpg,Forest,32632,431676.0,5466016.2
Forest_155.jpg,Forest,32632,549923.5,5732173.9
Forest_633.jpg,Forest,32634,325723.6,6056980.3
Forest_1249.jpg,Forest,32631,645381.8,5196509.7
Forest_2998.jpg,Forest,32633,469303.8,5901334.9
Forest_2740.jpg,Forest,32632,620890.7,5794254.2
Forest_1261.jpg,Forest,32632,585716.6,5902134.5
Forest_2768.jpg,Forest,32631,790532.2,5649498.9
Forest_1507.jpg,Forest,32632,606292.0,7048054.4
Forest_1513.jpg,Forest,32631,497629.7,5076360.7
Forest_169.jpg,Forest,32634,320751.7,5562716.3
Forest_1275.jpg,Forest,32632,602714.4,5943007.4
Forest_2797.jpg,Forest,32631,559412.6,5330693.8
Forest_182.jpg,Forest,32634,498467.0,5400028.3
Forest_196.jpg,Forest,32634,503673.2,4412705.0
Forest_2783.jpg,Forest,32630,616448.3,4781638.1
Forest_828.jpg,Forest,32632,401919.8,5291099.3
Forest_2973.jpg,Forest,32633,574669.9,5322265.8
Forest_800.jpg,Forest,32630,618467.0,4760667.7
Forest_814.jpg,Forest,32630,607863.1,4765167.7
Forest_2967.jpg,Forest,32634,516698.9,5421791.0
Forest_2620.jpg,Forest,32634,615397.0,5505032.8
Forest_753.jpg,Forest,32632,528667.5,5436914.0
Forest_1329.jpg,Forest,32632,435765.9,5470422.7
Forest_2146.jpg,Forest,32632,445760.6,5623856.8
Forest_2152.jpg,Forest,32630,618976.0,4771422.3
Forest_59.jpg,Forest,32633,670161.9,5382066.2
Forest_747.jpg,Forest,32632,508599.1,5524021.9
Forest_2634.jpg,Forest,32633,663906.2,5363665.2
Forest_71.jpg,Forest,32632,612680.0,5778009.9
Forest_1315.jpg,Forest,32634,482784.1,5645243.9
Forest_1473.jpg,Forest,32633,612048.3,5305341.3
Forest_1467.jpg,Forest,32631,743942.6,4797430.7
Forest_2608.jpg,Forest,32635,553773.3,5208587.6
Forest_65.jpg,Forest,32634,504846.5,5406056.8
Forest_1301.jpg,Forest,32633,729600.1,5419736.8
Forest_790.jpg,Forest,32633,677611.2,5377292.6
Forest_948.jpg,Forest,32632,510093.1,5550153.1
Forest_2185.jpg,Forest,32632,574156.0,5571317.0
Forest_1498.jpg,Forest,32635,484304.6,5158534.0
Forest_2191.jpg,Forest,32631,700279.5,5782188.8
Forest_784.jpg,Forest,32631,587442.8,5326156.4
Forest_2807.jpg,Forest,32634,501400.3,4408343.8
Forest_974.jpg,Forest,32634,429807.2,5706887.0
Forest_960.jpg,Forest,32635,426933.7,6588191.0
Forest_2813.jpg,Forest,32633,653261.5,5352721.6
Forest_2344.jpg,Forest,32634,498106.3,5386004.5
Forest_1895.jpg,Forest,32632,508752.2,5678489.6
Forest_237.jpg,Forest,32634,737297.7,4704683.3
Forest_551.jpg,Forest,32634,504323.6,4412705.0
Forest_2422.jpg,Forest,32630,699130.0,5112148.5
Forest_2436.jpg,Forest,32632,547505.4,5559873.0
Forest_545.jpg,Forest,32631,642781.1,5193909.7
Forest_1881.jpg,Forest,32632,674093.5,4882667.6
Forest_1659.jpg,Forest,32631,636118.8,5180354.8
Forest_223.jpg,Forest,32631,697750.5,5788524.5
Forest_2350.jpg,Forest,32634,737947.4,4703383.9
Forest_1671.jpg,Forest,32634,721061.1,4698486.2
Forest_2378.jpg,Forest,32633,608808.9,5368767.3
Forest_1117.jpg,Forest,32631,662491.4,5185360.9
Forest_579.jpg,Forest,32631,724091.2,5455498.3
Forest_1103.jpg,Forest,32631,498690.6,5479608.7
Forest_1665.jpg,Forest,32634,737297.7,4701434.7
Forest_1856.jpg,Forest,32633,591318.5,5378691.3
Forest_2387.jpg,Forest,32631,336266.6,5479260.2
Forest_592.jpg,Forest,32633,670728.8,5365916.2
Forest_586.jpg,Forest,32631,718854.8,5431593.4
Forest_2393.jpg,Forest,32631,303246.7,5316950.5
Forest_1842.jpg,Forest,32631,730329.0,5506887.2
Forest_587.jpg,Forest,32632,567561.4,5720383.6
Forest_1843.jpg,Forest,32632,404656.3,5280710.8
Forest_2392.jpg,Forest,32632,564995.1,5756151.2
Forest_2386.jpg,Forest,32635,425633.5,6589490.8
Forest_1857.jpg,Forest,32633,642392.3,6021874.5
Forest_593.jpg,Forest,32632,526639.4,5399878.4
Forest_1102.jpg,Forest,32632,400754.2,5283310.3
Forest_578.jpg,Forest,32633,623522.4,4347404.2
Forest_1664.jpg,Forest,32632,413953.5,5255484.4
Forest_2379.jpg,Forest,32631,333406.5,5476470.7
Forest_1670.jpg,Forest,32632,468512.9,5534009.5
Forest_1116.jpg,Forest,32632,544699.3,5565154.9
Forest_544.jpg,Forest,32634,689931.9,4762103.1
Forest_2437.jpg,Forest,32632,575455.8,5571317.0
Forest_2351.jpg,Forest,32632,543571.7,5410926.0
Forest_222.jpg,Forest,32633,643693.2,6021224.6
